1470399896910012422	2021-12-13	Animating like buttons in @figmadesign
1470768329308704774	2021-12-14	Animating Interactive rating components in @figmadesign, supafast!
1471075802955632649	2021-12-15	Animating 3D Shapes in @splinetool, supafast!
1471140739904061449	2021-12-15	The new Figjam highlight experience is supa satisfying!
1471398600282411008	2021-12-16	Figjam vs Miro poll
1471444082308308992	2021-12-16	Animating liquid switches in Figma, supafast!
1471800597749936132	2021-12-17	Designing interactive components calendars in @figmadesign
1472588783958867968	2021-12-19	3 Super @figmadesign UI Kits
1472912035944009731	2021-12-20	Animating @Google Material Design Text Fields in @figmadesign
1472922730085466112	2021-12-20	@memorisely UX/UI students ideating live in @figmadesign Figjam!
1473307347288215553	2021-12-21	@memorisely UX/UI students ideating live together in Figjam
1473597667737579520	2021-12-22	3 Super Design System Kits in @figmadesign
1473636835104595980	2021-12-22	@memorisely Design System Students nailing button variants
1474018404793204743	2021-12-23	Animating emoji reaction in @figmadesign, supafast!
1477706705706303488	2022-01-02	3 super 3D libraries in @figmadesign
1477969771366952963	2022-01-03	3 Bangin UX/UI Design Blogs to Bookmark
1478032268866244619	2022-01-03	Organising Design Tasks in @NotionHQ
1478695607950884866	2022-01-05	3 super accessibility plugins in @figmadesign
1478770163315093506	2022-01-05	@memorisely UX/UI Students bang together interactive components
1479414874694373378	2022-01-07	Animating radio buttons in @figmadesign
1480108657731940354	2022-01-09	Animating Hamburger menus in @figmadesign
1480111695976710151	2022-01-09	Banged together the @supafastNFT site in @webflow
1480506387318947845	2022-01-10	Iterating on @supafastNFT in @figmadesign
1480541843880357894	2022-01-10	(untitled)
1480829138269347841	2022-01-11	@memorisely UX/UI Students prototyping live in @figmadesign
1480917068904083460	2022-01-11	Animating drag & drop cards in Figma
1483333391294599168	2022-01-18	3 super 3D libraries in @figmadesign
1483688121443176453	2022-01-19	3 super @figmadesign plugins for UX/UI Designers
1484268162841559045	2022-01-20	Sliding into the weekend!
1484407805327069184	2022-01-21	3 super @figmadesign copy & paste updates
1486285892872462339	2022-01-26	Building a cabin!
1487694245838397440	2022-01-30	Designing Autolayout login modal in @figma
1488196818856988682	2022-01-31	Animating checkout buttons in Figma, supafast!
1488441709000286209	2022-02-01	3 bangin' @figma plugins
1488803484183011333	2022-02-02	@memorisely is now a team of 20!!
1493199569131384836	2022-02-14	Designing scrollable maps in @figma, supafast!
1493551485942177794	2022-02-15	Animating media cards in @figma, supafast!
1493901480776056835	2022-02-16	@memorisely UX/UI students doing competitor benchmarking in Figjam
1495727155032043523	2022-02-21	Designing line charts in @figma, supafast!
1495729817672724489	2022-02-21	Learn-by-doing
1496092524087287808	2022-02-22	3 Bangin' UX Research Podcasts
1496510213909852172	2022-02-23	Animating sound effect icons in Figma, supafast!
1497180386522243072	2022-02-25	Animating music players in Figma, supafast
1498267289430409217	2022-02-28	Experimenting with scroll animations in @figma
1498272720252985351	2022-02-28	@memorisely UX/UI students mapping user flows live in Figjam
1498607402719059968	2022-03-01	Creating mobile scroll animations in Figma, supafast!
1498903220500021251	2022-03-02	@memorisely UI Design students nailing font pairings in Figma
1498994591994896388	2022-03-02	@memorisely UX/UI students learning to wireframe live in Figma
1499376922538778626	2022-03-03	Work hard in silence, let your success be noise - Frank Ocean
1499700828139139073	2022-03-04	Animating gradients in @figma, supafast!
1500794867890499585	2022-03-07	@memorisely UX/UI students creating their colors styles live in Figma
1500810876588380166	2022-03-07	Experimenting with loading animations in Figma
1501560853128269824	2022-03-09	Animating play buttons in @figma, supafast!
1501888256375508992	2022-03-10	Designing auto layout carousels in Figma, supafast!
1503102388319789059	2022-03-13	Sunday Design System sessions in @memorisely hq
1503314717879771136	2022-03-14	@memorisely UX/UI students prototyping live in @figma
1503340867075166208	2022-03-14	Animating text in Figma, supafast!
1503415845455810565	2022-03-14	Focus time
